spanish	english
la adolescencia	adolescence
la alegría	happiness
la amistad	friendship
el amor	love
el aniversario (de bodas)	(wedding) anniversary
el beso	kiss
la boda	wedding
la botella (de vino)	bottle (of wine)
brindar	to toast (drink)
cambiar (de)	to change
casado/a	married
casarse (con)	to get married (to)
celebrar	to celebrate
el champán	champagne
comprometerse (con)	to get engaged (to)
conmigo	with me
contigo	with you
el cumpleaños	birthday
el día de fiesta	holiday
divertirse (e:ie)	to have fun
divorciado/a	divorced
divorciarse (de)	to get divorced (from)
el divorcio	divorce
los dulces	sweets; candy
la edad	age
enamorarse (de)	to fall in love (with)
entregar	to hand over; to deliver
enviar	to send
eras	were
el estado civil	marital status
las etapas de la vida	the stages of life
la fiesta	party
el flan (de caramelo)	baked (caramel) custard
las flores	flowers
la galleta	cookie
el globo	balloon
graduarse (de/en)	to graduate (from/in)
el helado	ice cream
el/la invitado/a	guest
invitar	to invite
jubilarse	to retire (from work)
el juego de las sillas	musical chairs
juntos/as	together
la juventud	youth
llevarse bien/mal (con)	to get along well/badly (with)
la madurez	maturity; middle age
el matrimonio	marriage
el/la mensajero/a	messenger
la muerte	death
nacer	to be born
el nacimiento	birth
la Navidad	Christmas
la niñez	childhood
odiar	to hate
la pareja	(married) couple; partner
pasarlo bien/mal	to have a good/bad time
el pastel (de chocolate)	(chocolate) cake; pie
el pedido	order
el pincho	a type of appetizer (in Spain)
el postre	dessert
la quinceañera	young woman celebrating her fifteenth birthday
el/la recién casado/a	newlywed
regalar	to give (a gift)
reírse (e:i)	to laugh
relajarse	to relax
romper (con)	to break up (with)
salir (con)	to go out (with); to date
separado/a	separated
separarse (de)	to separate (from)
sólo	only
soltero/a	single
sonreír (e:i)	to smile
sorprender	to surprise
la sorpresa	surprise
tener una cita	to have a date; to have an appointment
tropezarse con	to run into
la vejez	old age
viudo/a	widower/widow
