Rule,PorOrPara,SpanishExample,EnglishExample,Explanation
"Duration of time (""for"" meaning ""during"")","POR","Estudié por dos horas.","I studied for two hours.","Use por when describing how long something lasted."
"Cause or reason (""because of"")","POR","El vuelo se canceló por la tormenta.","The flight was canceled because of the storm.","Use por to explain why something happened."
"Exchange or price paid","POR","Pagué veinte dólares por la camiseta.","I paid twenty dollars for the shirt.","Use por when one thing is traded or paid for another."
"Movement through or along a place","POR","Caminamos por el parque.","We walked through the park.","Use por for motion passing through, along, or around a place."
"Means of communication or transportation","POR","Te envié la información por correo electrónico.","I sent you the information by email.","Use por for the medium or mode used."
"Rate or frequency (""per"")","POR","Voy al gimnasio tres veces por semana.","I go to the gym three times per week.","Use por to express a rate."
"On behalf of or in place of someone","POR","¿Puedes trabajar por mí el viernes?","Can you work in my place on Friday?","Use por when substituting for or acting on behalf of someone."
"Agent in a passive construction (""by"")","POR","La novela fue escrita por García Márquez.","The novel was written by García Márquez.","Use por to introduce who performed the action in a passive sentence."
"In search of / to fetch (with ir, venir, pasar)","POR","Voy por agua.","I'm going to get water.","Use por after motion verbs when the meaning is 'to go fetch.'"
"Expressing gratitude (""thanks for"")","POR","Gracias por tu ayuda.","Thanks for your help.","Use por after gracias to state what you are thankful for."
"Approximate time or location (""around"")","POR","Llegaremos por las ocho.","We'll arrive around eight.","Use por for vague or approximate times and places."
"Multiplication and math","POR","Cinco por cinco son veinticinco.","Five times five is twenty-five.","Use por for the multiplication operator."
"Emotion or motive toward something (""for"" as motivation)","POR","Lo hago por amor.","I do it for love / out of love.","Use por when the feeling or motive drives the action."
"Destination or physical direction (""headed to"")","PARA","Salgo para Madrid mañana.","I leave for Madrid tomorrow.","Use para when indicating where someone or something is headed."
"Deadline or specific point in time (""by / due"")","PARA","El informe es para el lunes.","The report is due by Monday.","Use para when something must be completed by a certain time."
"Purpose or goal (""in order to"" + infinitive)","PARA","Estudio para aprobar el examen.","I study in order to pass the exam.","Use para before an infinitive to express the goal of an action."
"Recipient (""for"" someone)","PARA","Este regalo es para ti.","This gift is for you.","Use para to indicate who will receive something."
"Personal opinion (""in my view"")","PARA","Para mí, la honestidad es lo más importante.","In my opinion, honesty is the most important thing.","Use para + pronoun to frame a personal perspective."
"Comparison or contrast (""considering"")","PARA","Para ser principiante, cocinas muy bien.","For a beginner, you cook very well.","Use para to set up an unexpected contrast."
"Employment (""for"" a company)","PARA","Trabajo para una empresa de tecnología.","I work for a tech company.","Use para when stating who you are employed by."
"Purpose of an object (""used for"")","PARA","Esta taza es para café.","This cup is for coffee.","Use para to describe what something is designed or intended for."
"Readiness or being about to (estar para)","PARA","El tren está para salir.","The train is about to leave.","Use estar + para + infinitive to express that something is on the verge of happening."
