Spanish,English,SpanishBack,PorOrPara,Reason
"Viajamos ___ toda Europa el verano pasado.","We traveled through all of Europe last summer.","Viajamos por toda Europa el verano pasado.","POR","Movement through a place."
"Este paquete es ___ la señora López.","This package is for Mrs. López.","Este paquete es para la señora López.","PARA","Recipient."
"Llegaron tarde ___ el tráfico.","They arrived late because of the traffic.","Llegaron tarde por el tráfico.","POR","Cause/reason."
"Necesito terminarlo ___ el viernes.","I need to finish it by Friday.","Necesito terminarlo para el viernes.","PARA","Deadline."
"Cambié mi teléfono viejo ___ uno nuevo.","I exchanged my old phone for a new one.","Cambié mi teléfono viejo por uno nuevo.","POR","Exchange."
"Compré flores ___ mi madre.","I bought flowers for my mother.","Compré flores para mi madre.","PARA","Recipient."
"___ un niño de cinco años, lee muy bien.","For a five-year-old, he reads very well.","Para un niño de cinco años, lee muy bien.","PARA","Comparison/contrast."
"Estudié español ___ tres años.","I studied Spanish for three years.","Estudié español por tres años.","POR","Duration of time."
"Ella trabaja ___ el gobierno.","She works for the government.","Ella trabaja para el gobierno.","PARA","Employment."
"Te llamé ___ teléfono pero no contestaste.","I called you by phone but you didn't answer.","Te llamé por teléfono pero no contestaste.","POR","Means of communication."
"Salimos ___ la costa mañana temprano.","We leave for the coast early tomorrow.","Salimos para la costa mañana temprano.","PARA","Destination."
"Gracias ___ invitarme a la fiesta.","Thanks for inviting me to the party.","Gracias por invitarme a la fiesta.","POR","Gratitude."
"Esta crema es ___ las manos.","This cream is for the hands.","Esta crema es para las manos.","PARA","Purpose of an object."
"El cuadro fue pintado ___ Frida Kahlo.","The painting was painted by Frida Kahlo.","El cuadro fue pintado por Frida Kahlo.","POR","Agent in a passive sentence."
"___ mí, la mejor película es esa.","In my opinion, the best movie is that one.","Para mí, la mejor película es esa.","PARA","Personal opinion."
"Corro ___ la mañana antes de trabajar.","I run in the morning before work.","Corro por la mañana antes de trabajar.","POR","Approximate time."
"Voy a la tienda ___ leche.","I'm going to the store to get milk.","Voy a la tienda por leche.","POR","In search of / to fetch."
"Hago ejercicio ___ mantenerme saludable.","I exercise in order to stay healthy.","Hago ejercicio para mantenerme saludable.","PARA","Purpose/goal."
"Pagamos cincuenta euros ___ persona.","We paid fifty euros per person.","Pagamos cincuenta euros por persona.","POR","Rate."
"¿Puedes firmar ___ mí? No puedo ir a la reunión.","Can you sign for me? I can't go to the meeting.","¿Puedes firmar por mí? No puedo ir a la reunión.","POR","On behalf of / in place of."
"Dos ___ cuatro son ocho.","Two times four is eight.","Dos por cuatro son ocho.","POR","Multiplication."
"Ahorra dinero ___ comprar una casa.","She saves money in order to buy a house.","Ahorra dinero para comprar una casa.","PARA","Purpose/goal."
"Pasé ___ tu oficina pero no estabas.","I stopped by your office but you weren't there.","Pasé por tu oficina pero no estabas.","POR","Movement through/by a place."
"El tren está ___ salir.","The train is about to leave.","El tren está para salir.","PARA","Readiness / about to."
"Lo hizo ___ miedo, no ___ convicción.","He did it out of fear, not out of conviction.","Lo hizo por miedo, no por convicción.","POR","Cause/motive (both blanks)."
"Necesitamos un traductor ___ la conferencia.","We need a translator for the conference.","Necesitamos un traductor para la conferencia.","PARA","Purpose/goal."
"Caminé ___ la playa durante el atardecer.","I walked along the beach during sunset.","Caminé por la playa durante el atardecer.","POR","Movement along a place."
"___ ser tan joven, tiene mucha experiencia.","Considering how young she is, she has a lot of experience.","Para ser tan joven, tiene mucha experiencia.","PARA","Comparison/contrast."
"Me dieron una multa ___ estacionar en lugar prohibido.","I got a fine for parking in a prohibited spot.","Me dieron una multa por estacionar en lugar prohibido.","POR","Cause/reason."
"¿___ cuándo necesitas la respuesta?","By when do you need the answer?","¿Para cuándo necesitas la respuesta?","PARA","Deadline."
"Mandé el documento ___ correo certificado.","I sent the document by certified mail.","Mandé el documento por correo certificado.","POR","Means of transportation/delivery."
