Spanish	ExampleSentence	English	ExampleTranslation	PartOfSpeech	Gender	Notes
el aceite	Añade un poco de <b>aceite</b> a la sartén.	oil	Add a little oil to the pan.	noun	el (masculine)	"Aceite de oliva" = olive oil.
las aceitunas	Me encantan las <b>aceitunas</b> verdes.	olives	I love green olives.	noun	las (feminine plural)	Also: "la aceituna" (singular).
el agua (mineral)	¿Me trae un <b>agua mineral</b>, por favor?	(mineral) water	Can you bring me a mineral water, please?	noun	el (feminine)	Feminine but uses "el" in singular because it starts with a stressed "a": el agua fría.
ahogarse	El niño casi se <b>ahoga</b> con un pedazo de carne.	to choke	The child almost choked on a piece of meat.	verb		Also means "to drown." Spelling change: yo me ahogué.
el ajo	Esta salsa lleva mucho <b>ajo</b>.	garlic	This sauce has a lot of garlic.	noun	el (masculine)	"Un diente de ajo" = a clove of garlic.
el alioli	Las patatas bravas se sirven con <b>alioli</b>.	aioli (garlic mayonnaise)	The patatas bravas are served with aioli.	noun	el (masculine)	Popular condiment in Spain. Made from garlic and oil.
el almuerzo	¿Ya es hora del <b>almuerzo</b>?	lunch	Is it lunchtime already?	noun	el (masculine)	Verb: "almorzar" (o→ue).
el arroz	El <b>arroz</b> con pollo es mi plato favorito.	rice	Rice with chicken is my favorite dish.	noun	el (masculine)	
las arvejas	A mi hijo no le gustan las <b>arvejas</b>.	peas	My son doesn't like peas.	noun	las (feminine plural)	Also: "los guisantes" (Spain), "los chícharos" (Mexico).
el atún	Hice un sándwich de <b>atún</b> para el almuerzo.	tuna	I made a tuna sandwich for lunch.	noun	el (masculine)	
el azúcar	¿Le pones <b>azúcar</b> al café?	sugar	Do you put sugar in your coffee?	noun	el (masculine)	Can be masculine or feminine. "El azúcar" is most common.
la banana	Me como una <b>banana</b> todas las mañanas.	banana	I eat a banana every morning.	noun	la (feminine)	Also: "el plátano" (Spain and some Latin American countries).
la bebida	¿Qué <b>bebida</b> desea usted?	drink	What drink would you like?	noun	la (feminine)	From the verb "beber" (to drink).
el bistec	Quiero un <b>bistec</b> bien cocido, por favor.	steak	I'd like a well-done steak, please.	noun	el (masculine)	Also spelled: "bisté" or "biftec."
el boquerón	En España, los <b>boquerones</b> en vinagre son muy populares.	anchovy	In Spain, anchovies in vinegar are very popular.	noun	el (masculine)	Plural: los boquerones. "La anchoa" = salt-cured anchovy.
¡Buen provecho!	La comida está lista. <b>¡Buen provecho!</b>	Enjoy your meal!	The food is ready. Enjoy your meal!	expression		Said before eating, like "bon appétit."
el café	Tomo un <b>café</b> todas las mañanas.	coffee	I have a coffee every morning.	noun	el (masculine)	Also means "café" (the place). "Café con leche" = coffee with milk.
el calamar	Pedimos <b>calamares</b> fritos de entrada.	calamari (squid)	We ordered fried calamari as an appetizer.	noun	el (masculine)	Plural: los calamares.
el/la camarero/a	El <b>camarero</b> nos trajo el menú.	waiter/waitress	The waiter brought us the menu.	noun	el/la	In Latin America: "el mesero / la mesera."
los camarones	Me encantan los <b>camarones</b> al ajillo.	shrimp	I love garlic shrimp.	noun	los (masculine plural)	In Spain: "las gambas."
la carne	Mi hermano no come <b>carne</b>; es vegetariano.	meat	My brother doesn't eat meat; he's a vegetarian.	noun	la (feminine)	General term for meat.
la carne de res	La <b>carne de res</b> está muy cara este mes.	beef	Beef is very expensive this month.	noun	la (feminine)	In Spain: "la carne de vaca" or "la ternera."
la cebolla	Pica la <b>cebolla</b> en trozos pequeños.	onion	Chop the onion into small pieces.	noun	la (feminine)	
la cena	La <b>cena</b> está lista a las ocho.	dinner	Dinner is ready at eight.	noun	la (feminine)	Verb: "cenar" (to have dinner).
los cereales	Desayuno <b>cereales</b> con leche.	cereal; grains	I have cereal with milk for breakfast.	noun	los (masculine plural)	
la cerveza	¿Quieres una <b>cerveza</b> fría?	beer	Do you want a cold beer?	noun	la (feminine)	
